Epoch,Training Accuracy,Generalization Accuracy
0,5.916666666666667,30.0
1,72.375,91.33333333333333
2,93.625,96.33333333333333
3,96.33333333333333,97.5
4,97.375,96.66666666666667
5,98.20833333333333,98.0
6,98.875,97.83333333333333
7,99.625,98.83333333333333
8,99.83333333333333,99.0
9,100.0,99.16666666666667
10,100.0,99.16666666666667
11,100.0,99.16666666666667
12,100.0,99.16666666666667
13,100.0,99.0
14,100.0,99.0
15,100.0,99.16666666666667
16,100.0,99.16666666666667
17,100.0,99.16666666666667
18,100.0,99.16666666666667
19,100.0,99.16666666666667
20,100.0,99.16666666666667
21,100.0,99.16666666666667
22,100.0,99.16666666666667
23,100.0,99.16666666666667
24,100.0,99.16666666666667
25,100.0,99.16666666666667
26,100.0,99.16666666666667
27,100.0,99.16666666666667
28,100.0,99.16666666666667
29,100.0,99.16666666666667
30,100.0,99.16666666666667
31,100.0,99.16666666666667
32,100.0,99.16666666666667
33,100.0,99.16666666666667
34,100.0,99.16666666666667
35,100.0,99.16666666666667
36,100.0,99.16666666666667
37,100.0,99.16666666666667
38,100.0,99.16666666666667
39,100.0,99.16666666666667
