Epoch,Training Accuracy,Generalization Accuracy
0,0.8333333333333334,0.0
1,0.6666666666666666,0.8333333333333334
2,1.5833333333333333,0.3333333333333333
3,2.5416666666666665,2.5
4,4.833333333333333,4.0
5,4.625,7.666666666666667
6,5.791666666666667,6.166666666666667
7,5.041666666666667,6.166666666666667
8,4.125,3.3333333333333335
9,5.041666666666667,4.0
10,4.916666666666667,3.0
11,5.458333333333333,5.333333333333333
12,6.958333333333333,5.666666666666667
13,7.208333333333333,6.333333333333333
14,7.958333333333333,6.666666666666667
15,6.333333333333333,5.833333333333333
16,6.583333333333333,4.333333333333333
17,4.333333333333333,3.8333333333333335
18,5.25,3.6666666666666665
19,4.958333333333333,6.333333333333333
